"location","source","target"
"99","If you are uncomfortable reporting to the Code of Conduct committee as a group, you can contact any individual committee member via email or a direct message on the community-bioc Slack channel.","Se você estiver desconfortável reportando ao comitê de Código de Conduta como grupo, você pode entrar em contato com qualquer membro do comitê individualmente por e-mail ou uma mensagem direta no canal ""community-bioc"" no Slack."
"101","Please include screenshots/copies of all relevant electronic conversations whenever possible (you don’t need to compromise your anonymity!).","Por favor, inclua capturas de tela /cópias de todas as conversas eletrônicas relevantes sempre que possível (você não precisa comprometer o seu anonimato!)."
"103","We can’t follow up an anonymous report with you directly, but we will fully investigate it and take whatever action is necessary to prevent a recurrence.","Não podemos acompanhar um relatório anônimo com você, mas vamos investigá-la totalmente e tomar todas as medidas necessárias para evitar que se repita."
"105","Personal Report (for any Bioconductor events: in-person or virtual)","Relatório pessoal (para quaisquer eventos de Bioconductor: presencial ou virtual)"
"107","You can make a personal report to any member of the event Code of Conduct committee present at an event.","Você pode fazer uma denúnica pessoal para qualquer membro do comitê do Código de Conduta do evento presente no evento."
"109","When taking a personal report, we will ensure you are safe and cannot be overheard.","Ao fazer uma denúncia pessoal, garantimos que você está seguro e que não pode ser ouvido por acaso."
"111","We may involve other event staff to ensure your report is managed properly.","Podemos envolver outros funcionários do evento para garantir que o sua denúncia seja gerenciada adequadamente."
"113","Once safe, we’ll ask you to tell us about what happened.","Uma vez seguro, perguntaremos a você para nos dizer o que aconteceu."
"115","This can be upsetting, but we’ll handle it as respectfully as possible, and you can bring someone to support you.","Isto pode ser perturbador, mas nós vamos lidar com isso da forma mais respeitosa possível, e você pode trazer alguém para apoiá-lo."
"117","You won’t be asked to confront anyone, and we won’t tell anyone who you are.","Você não terá que confrontar ninguém e não diremos a ninguém quem você é."
"119","Our team will be happy to help you get the relevant support (e.g. help contacting hotel/venue security, local law enforcement, local support services, provide escorts, or otherwise assist you to feel safe for the duration of the event).","Nossa equipe ficará feliz em ajudá-lo a obter o suporte relevante (por exemplo, ajuda a contatar a segurança de hotel/evento, aplicação da lei local, serviços de suporte locais, fornecer escoltas ou de outra forma ajudá-lo a sentir-se seguro durante o evento)."
"121","We value your attendance and participation at Bioconductor events and in our community.","Valorizamos sua presença e participação em eventos de Bioconductor e em nossa comunidade."
"123","Code of Conduct Committee","Comitê do Código de Conduta"
"125","(Chair) Saskia Freytag sas.freytag@gmail.com","(Chair) Saskia Freytag sas.freytag@gmail.com"
"127","Yagoub Adam yagoub@alumni.usp.br","Yagoub Adam yagoub@alumni.usp.br"
"129","Leonardo Collado-Torres lcolladotor@gmail.com","Leonardo Collado-Torres lcolladotor@gmail.com"
"131","Aedín Culhane aedin@ds.dfci.harvard.edu","Aedín Culhane aedin@ds.dfci.harvard.edu"
"133","Laurent Gatto laurent.gatto@gmail.com","Laurent Gatto laurent.gatto@gmail.com"
"135","Stephanie Hicks shicks19@jhu.edu","Stephanie Hicks shicks19@jhu.edu"
"137","Johannes Rainer johannes.rainer@eurac.edu","Johannes Rainer johannes.rainer@eurac.edu"
"139","Matthew Ritchie mritchie@wehi.edu.au","Matthew Ritchie mritchie@wehi.edu.au"
"141","Charlotte Soneson charlottesoneson@gmail.com","Charlotte Soneson charlottesoneson@gmail.com"
"143","Levi Waldron lwaldron.research@gmail.com","Levi Waldron lwaldron.research@gmail.com"
