"location","source","target"
"73","Anyone asked to stop harassing or intimidating behavior are expected to comply immediately.","Toute personne invitée à cesser un comportement de harcèlement ou d’intimidation devrait se conformer immédiatement aux instructions reçues."
"75","If a person/s contravene the Code of Conduct the Code of Conduct committee retains the right to take any action that ensures a welcoming environment for all community members.","Si une personne contrevient au Code de conduite, le comité du Code de conduite se réserve le droit de prendre des mesures qui garantissent un environnement accueillant pour tous les membres de la communauté."
"77","This includes warning the alleged offender or temporary/permanent expulsion from the event and/or electronic platforms under Bioconductor’s control.","Cela inclut l'avertissement du délinquant présumé ou son expulsion temporaire ou permanente de l'événement et/ou des plateformes électroniques sous le contrôle de Bioconductor."
"79","The Code of Conduct committee may take action to redress anything designed to, or with the clear impact of, disrupting an event or electronic communication platform or making the environment hostile for any community member.","Le comité du code de bonne conduite peut prendre des mesures pour réparer toute action visant à, ou causant clairement, la perturbation d'un événement ou d'une plateforme de communication électronique, ou rendant l'environnement hostile à tout membre de la communauté."
"81","We expect everyone in the Bioconductor community to comply with the Code of Conduct when participating in Bioconductor events and online communication platforms.","Nous attendons de tous les membres de la communauté Bioconductor qu'ils se conforment au Code de bonne conduite lorsqu'ils participent aux événements Bioconductor et aux plateformes de communication en ligne."
"83","Reporting","Signalement"
"85","If someone makes you or anyone else feel unsafe or unwelcome, please report it as soon as possible.","Si quelqu'un vous fait sentir en danger ou indésirable, veuillez le signaler dès que possible."
"87","You can make a report either anonymously or personally.","Vous pouvez remplir le formulaire de signalement de façon anonyme ou accompagné de votre nom."
"89","All reports will be reviewed by the Code of Conduct Committee and will be kept confidential.","Tous les signalements seront examinés par le Comité du Code de bonne conduite et resteront confidentiels."
"91","Electronically","Electroniquement"
"93","You can make an anonymous or non-anonymous report via the following link: <a href=""https://tinyurl.com/bioccomplaint"" f-id=""2"" fo=""2"">https://tinyurl.com/bioccomplaint</a>.","Vous pouvez faire un rapport anonyme ou accompagné de votre nom via le lien suivant : <a href=""https://tinyurl.com/bioccomplaint"" f-id=""2"" fo=""2"">https://tinyurl.com/bioccomplaint</a>."
"95","It is a free-form text box that will be forwarded to the Code of Conduct Committee.","Il s'agit d'une boîte de texte en forme libre qui sera transmise au comité du code de bonne conduite."
"97","Alternatively you can email the Code of Conduct Committee (code-of-conduct@bioconductor.org).","Vous pouvez également envoyer un courriel au Comité du Code de bonne conduite (code-of-conduct@bioconductor.org)."
"99","If you are uncomfortable reporting to the Code of Conduct committee as a group, you can contact any individual committee member via email or a direct message on the community-bioc Slack channel.","Si vous ne vous sentez pas à l'aise de contacter le comité du code de conduite en tant que groupe, vous pouvez contacter n'importe quel membre du comité par courriel ou un message direct sur l'espace de travail Slack ""community-bioc""."
"101","Please include screenshots/copies of all relevant electronic conversations whenever possible (you don’t need to compromise your anonymity!).","Veuillez inclure des captures d'écran/copies de toutes les conversations électroniques pertinentes dans la mesure du possible (vous n'avez pas besoin de compromettre votre anonymat!)."
"103","We can’t follow up an anonymous report with you directly, but we will fully investigate it and take whatever action is necessary to prevent a recurrence.","Nous ne pouvons pas suivre un signalement anonyme avec vous directement, mais nous examinerons le signalement en profondeur et prendrons toutes les mesures nécessaires pour éviter une récidive."
"105","Personal Report (for any Bioconductor events: in-person or virtual)","Signalement direct (pour tout événement Bioconductor: en personne ou virtuel)"
"107","You can make a personal report to any member of the event Code of Conduct committee present at an event.","Vous pouvez faire un signalement directement à tout membre du comité du Code de bonne conduite présents à un événement."
"109","When taking a personal report, we will ensure you are safe and cannot be overheard.","Lorsque nous prenons un rapport direct, nous nous assurerons que vous êtes en sécurité et que personne d'autre ne peut intercepter la conversation."
"111","We may involve other event staff to ensure your report is managed properly.","Il se peut que nous fassions appel à un autre personnel de l’évènement pour nous assurer que votre rapport est géré correctement."
"113","Once safe, we’ll ask you to tell us about what happened.","Une fois en sécurité, nous vous demanderons de nous faire part de ce qui s'est passé."
"115","This can be upsetting, but we’ll handle it as respectfully as possible, and you can bring someone to support you.","Cela peut être bouleversant, mais nous traiterons toute information avec le plus grand respect possible, et vous pouvez vous accompagner de quelqu'un pour vous soutenir."
"117","You won’t be asked to confront anyone, and we won’t tell anyone who you are.","On ne vous demandera pas de confronter qui que ce soit, et nous ne dirons à personne qui vous êtes."
"119","Our team will be happy to help you get the relevant support (e.g. help contacting hotel/venue security, local law enforcement, local support services, provide escorts, or otherwise assist you to feel safe for the duration of the event).","Notre équipe se fera un devoir de vous aider à obtenir le soutien approprié (par exemple, aide à contacter la sécurité de l'hôtel/du lieu, les forces de l'ordre locales, les services de soutien locaux, escorte, ou tout support pour vous sentir en sécurité pendant la durée de l'événement)."
"121","We value your attendance and participation at Bioconductor events and in our community.","Nous apprécions votre présence et votre participation aux événements Bioconductor et à notre communauté."
"123","Code of Conduct Committee","Comité de bonne conduite"
"125","(Chair) Saskia Freytag sas.freytag@gmail.com","(Chair) Saskia Freytag sas.freytag@gmail.com"
"127","Yagoub Adam yagoub@alumni.usp.br","Yagoub Adam yagoub@alumni.usp.br"
"129","Leonardo Collado-Torres lcolladotor@gmail.com","Leonardo Collado-Torres lcolladotor@gmail.com"
"131","Aedín Culhane aedin@ds.dfci.harvard.edu","Aedín Culhane aedin@ds.dfci.harvard.edu"
"133","Laurent Gatto laurent.gatto@gmail.com","Laurent Gatto laurent.gatto@gmail.com"
"135","Stephanie Hicks shicks19@jhu.edu","Stephanie Hicks shicks19@jhu.edu"
"137","Johannes Rainer johannes.rainer@eurac.edu","Johannes Rainer johannes.rainer@eurac.edu"
"139","Matthew Ritchie mritchie@wehi.edu.au","Matthew Ritchie mritchie@wehi.edu.au"
"141","Charlotte Soneson charlottesoneson@gmail.com","Charlotte Soneson charlottesoneson@gmail.com"
"143","Levi Waldron lwaldron.research@gmail.com","Levi Waldron lwaldron.research@gmail.com"
