"location","source","target"
"87","You can make a report either anonymously or personally.","匿名または個人的に報告書を作成できます。"
"89","All reports will be reviewed by the Code of Conduct Committee and will be kept confidential.","すべての報告は、行動規範委員会によってレビューされ、機密が保持されます。"
"91","Electronically","電子的に"
"93","You can make an anonymous or non-anonymous report via the following link: <a href=""https://tinyurl.com/bioccomplaint"" f-id=""2"" fo=""2"">https://tinyurl.com/bioccomplaint</a>.","次のリンクから匿名または非匿名のレポートを作成できます: <a href=""https://tinyurl.com/bioccomplaint"" f-id=""2"" fo=""2"">https://tinyurl.com/bioccomplaint</a>"
"95","It is a free-form text box that will be forwarded to the Code of Conduct Committee.","これは、行動規範委員会に転送される自由形式のテキストボックスです。"
"97","Alternatively you can email the Code of Conduct Committee (code-of-conduct@bioconductor.org).","代わりに、行動規範委員会 (code-of-conduct@bioconductor.org) に電子メールを送信することもできます。"
"99","If you are uncomfortable reporting to the Code of Conduct committee as a group, you can contact any individual committee member via email or a direct message on the community-bioc Slack channel.","グループとしての行動規範委員会への報告に不安がある場合は、個々の委員会メンバーへの電子メールもしくはcommunity-bioc Slackでのダイレクトメッセージでも連絡できます。"
"101","Please include screenshots/copies of all relevant electronic conversations whenever possible (you don’t need to compromise your anonymity!).","可能な限り、関連するすべての電子会話のスクリーンショット/コピーを含めてください (匿名情報を洩らす必要はありません!)。"
"103","We can’t follow up an anonymous report with you directly, but we will fully investigate it and take whatever action is necessary to prevent a recurrence.","匿名の報告を直接フォローアップすることはできませんが、完全に調査し、再発を防ぐために必要な措置を講じます。"
"105","Personal Report (for any Bioconductor events: in-person or virtual)","ご本人がじかに行う報告 (Bioconductorイベントの場合：対面またはバーチャルで)"
"107","You can make a personal report to any member of the event Code of Conduct committee present at an event.","イベントに出席しているイベント行動規範委員会のメンバーにご本人がじかに報告をすることができます。"
"109","When taking a personal report, we will ensure you are safe and cannot be overheard.","ご本人がじかに報告をしてくださる場合、私たちはあなたが安全であり、それを立ち聞きされないようにすることを保証します。"
"111","We may involve other event staff to ensure your report is managed properly.","ただし、あなたの報告が適切に管理されるように、他のイベントスタッフが関与する場合があるかもしれません。"
"113","Once safe, we’ll ask you to tell us about what happened.","安全になったら、我々はあなたに何が起こったのか教えていただくようお願いします。"
"115","This can be upsetting, but we’ll handle it as respectfully as possible, and you can bring someone to support you.","これはあなたを動揺させる可能性がありますが、我々は可能な限り丁寧に対応し、誰かにあなたをサポートしてもらうようにできます。"
"117","You won’t be asked to confront anyone, and we won’t tell anyone who you are.","あなたは誰かに立ち向かうように求められることはありませんし、我々はあなたが誰であるかを誰にも教えません。"
"119","Our team will be happy to help you get the relevant support (e.g. help contacting hotel/venue security, local law enforcement, local support services, provide escorts, or otherwise assist you to feel safe for the duration of the event).","私たちのチームは、あなたが関連のあるサポートを受けるのを喜んでお手伝いします (たとえば、ホテル/会場のセキュリティ、地域の法執行機関、地域のサポートサービスへの連絡、エスコートの提供、またはイベント期間中の安全を確保するための支援など)。"
"121","We value your attendance and participation at Bioconductor events and in our community.","私たちは、Bioconductorのイベントおよび私たちのコミュニティへのご出席と参加を大切にしています。"
"123","Code of Conduct Committee","行動規範委員会"
"125","(Chair) Saskia Freytag sas.freytag@gmail.com","(議長) Saskia Freytag sas.freytag@gmail.com"
"127","Yagoub Adam yagoub@alumni.usp.br","Yagoub Adam yagoub@alumni.usp.br"
"129","Leonardo Collado-Torres lcolladotor@gmail.com","Leonardo Collado-Torres lcolladotor@gmail.com"
"131","Aedín Culhane aedin@ds.dfci.harvard.edu","Aedín Culhane aedin@ds.dfci.harvard.edu"
"133","Laurent Gatto laurent.gatto@gmail.com","Laurent Gatto laurent.gatto@gmail.com"
"135","Stephanie Hicks shicks19@jhu.edu","Stephanie Hicks shicks19@jhu.edu"
"137","Johannes Rainer johannes.rainer@eurac.edu","Johannes Rainer Johannes.rainer@eurac.edu"
"139","Matthew Ritchie mritchie@wehi.edu.au","Matthew Ritchie mritchie@wehi.edu.au"
"141","Charlotte Soneson charlottesoneson@gmail.com","Charlotte Soneson charlotteson@gmail.com"
"143","Levi Waldron lwaldron.research@gmail.com","Levi Waldron lwaldron.research@gmail.com"
