File,Context,English,French,Japanese,Mandarin,"Portuguese, Brazilian"
code-of-conduct.md,"List Item
XPath: /ul[2]/li[4]","a kind and welcoming environment","un environnement accueillant et chaleureux",親切で居心地の良い環境,"a kind and welcoming environment","um ambiente gentil e acolhedor"
code-of-conduct.md,"List Item
XPath: /ul[2]/li[5]","community contributions","contributions de la communauté",コミュニティへの貢献,"community contributions","contribuições da comunidade"
code-of-conduct.md,"Paragraph text
XPath: /p[4]","In line with these values, Bioconductor is dedicated to providing a welcoming, supportive, collegial, experience free of harassment, intimidation, and bullying regardless of:","Conformément à ces valeurs, Bioconductor se consacre à fournir une expérience accueillante, solidaire, collégiale, sans harcèlement, intimidation et intimidation, indépendamment de :",これらの価値観に沿って、Bioconductorは、下記リストに関係無く、「嫌がらせ、脅迫、いじめ」の無い、「歓迎的で、協力的で、それぞれが平等に権限を有する」体験を提供することに専念しています:,"In line with these values, Bioconductor is dedicated to providing a welcoming, supportive, collegial, experience free of harassment, intimidation, and bullying regardless of:","Em conformidade com estes valores, Bioconductor é dedicado a proporcionar uma experiência bem-vinda, solidária, colegial, livre de assédio, intimidação e intimidação independentemente de:"
code-of-conduct.md,"List Item
XPath: /ul[3]/li","identity: gender, gender identity and expression, sexual orientation, disability, physical appearance, ethnicity, body size, race, age, religion, etc.","identité: genre, identité et expression du genre, orientation sexuelle, handicap, apparence physique, ethnicité, taille, race, âge, religion, etc.","身元: 性別、性同一性と表現、性的指向、身体障害、容貌、民族性、体の大きさ、人種、年齢、宗教など。","identity: gender, gender identity and expression, sexual orientation, disability, physical appearance, ethnicity, body size, race, age, religion, etc.","identidade: gênero, identidade e expressão de gênero, orientação sexual, deficiência, aparência física, etnia, tamanho corporal, raça, idade, religião, etc."
code-of-conduct.md,"List Item
XPath: /ul[3]/li[2]","intellectual position: approaches to data analysis, software preferences, coding style, scientific perspective, etc.","position intellectuelle : approches envers l'analyse de données, préférences logicielles, style de codage, perspective scientifique, etc.",知的地位：データ分析へのアプローチ、ソフトウェアの好み、コーディングスタイル、科学的視点など。,"intellectual position: approaches to data analysis, software preferences, coding style, scientific perspective, etc.","posição intelectual: abordagens à análise de dados, preferências de software, estilo de programação, perspectiva científica, etc."
code-of-conduct.md,"List Item
XPath: /ul[3]/li[3]","stage of career","phase de carrière",キャリアの段階,"stage of career","estágio da carreira"
code-of-conduct.md,"Paragraph text
XPath: /p[5]","By participating in this community, you agree not to engage in behavior contrary to these values at any Bioconductor-sponsored event (in person or virtual, including but not limited to talks, workshops, poster sessions, social activities) or electronic communication channel (including but not limited to community-bioc Slack, the support site, online forums and social media communications).","En participant à cette communauté, vous acceptez de ne pas adopter un comportement contraire à ces valeurs lors de tout événement parrainé par Bioconductor (en personne ou virtuel, y compris, mais sans s'y limiter, conférences, séminaires, presentations de posters, activités sociales) ou tout canal de communication électronique (y compris, mais sans s'y limiter, l'espace de travail Slack ""community-bioc"", le site de support, les forums en ligne et les communications sur les médias sociaux).","このコミュニティに参加することにより、Bioconductorが主催するイベント (リアルまたはバーチャルのイベント、トーク、ワークショップ、ポスターセッション、ソーシャルアクティビティを含むがこれらに限定されない) または電子通信チャネル (community-bioc Slack、support.bioconductor.org、オンラインフォーラム、そしてソーシャルメディアコミュニケーションを含むがこれらに限定されない) でこれらの価値観に反する行動をとらないことに同意するものとします。","By participating in this community, you agree not to engage in behavior contrary to these values at any Bioconductor-sponsored event (in person or virtual, including but not limited to talks, workshops, poster sessions, social activities) or electronic communication channel (including but not limited to community-bioc Slack, the support site, online forums and social media communications).","Ao participar desta comunidade, você concorda em não participar de um comportamento contrário a esses valores em qualquer evento patrocinado pelo Bioconductor (presencial ou virtual), incluindo mas não limitado a conversas, oficinas, sessões de pôsteres, atividades sociais) ou canais de comunicações eletrônicas (incluindo mas não limitados ao Slack, o site de suporte, fóruns online e comunicações de mídias sociais)."
code-of-conduct.md,"XPath: /p[6]","We do not tolerate harassment, intimidation, or bullying of community members.","Nous ne tolérons pas le harcèlement, l'intimidation ou la persécution des membres de la communauté.",我々はコミュニティメンバーへの嫌がらせ、脅迫、いじめを容認しません。,"We do not tolerate harassment, intimidation, or bullying of community members.","Não toleramos assédio, intimidação ou bullying de membros da comunidade."
code-of-conduct.md,"XPath: /p[6]","Sexual language and imagery are not appropriate in presentations, communications or in online venues, including chats.","Le langage sexuel et l'imagerie sont inappropriés dans les présentations, les communications ou les sites en ligne, y compris les chats.",性的な言葉や画像は、プレゼンテーション、コミュニケーション、またはチャットを含むオンラインの場でふさわしくありません。,"Sexual language and imagery are not appropriate in presentations, communications or in online venues, including chats.","Linguagem e imagens sexuais não são apropriadas em apresentações, comunicações ou salas on-line, incluindo chats."
code-of-conduct.md,"Paragraph text
XPath: /p[7]","Any person/s violating the Code of Conduct may be sanctioned or expelled temporarily or permanently from an electronic platform or event at the discretion of the Code of Conduct committee.","Toute personne qui enfreint le Code de conduite peut être sanctionnée ou expulsée temporairement ou définitivement d'une plate-forme électronique ou d'un événement à la discrétion du comité du code de conduite.",行動規範に違反する人は、行動規範委員会の裁量により、一時的または恒久的に電子プラットフォームまたはイベントから制裁または追放される場合があります。,"Any person/s violating the Code of Conduct may be sanctioned or expelled temporarily or permanently from an electronic platform or event at the discretion of the Code of Conduct committee.","Qualquer pessoa que viole o Código de Conduta pode ser sancionada ou expulsa temporária ou permanentemente de uma plataforma eletrônica ou de um evento a critério do Comité do Código de Conduta."
code-of-conduct.md,"Text
XPath: /p[8]/strong","Examples of unacceptable harassment, intimidation, and bullying behavior.","Exemples de harcèlement, d'intimidation et d'intimidation inacceptables.",容認できない嫌がらせ、脅迫、いじめ行為の例。,"Examples of unacceptable harassment, intimidation, and bullying behavior.","Exemplos de comportamento inaceitável de assédio, intimidação e bullying."
code-of-conduct.md,"Paragraph text
XPath: /p[9]","Harassment includes, but is not limited to:","Le harcèlement inclut, mais ne se limite pas à :",ハラスメントには以下が含まれますが、これらに限定されません:,"Harassment includes, but is not limited to:","O assédio inclui, mas não está limitado a:"
code-of-conduct.md,"List Item
XPath: /ul[4]/li","Making comments in chats, to an audience or personally, that belittle or demean another person","Faire des commentaires dans les chats, publiquement ou personnellement, qui déprécient ou dévalorisent une autre personne",チャットで次のようなコメントをする。聴衆に、または個人的に、他の人を軽蔑したり侮辱したりすること,"Making comments in chats, to an audience or personally, that belittle or demean another person","Fazer comentários em chats, para um público ou pessoalmente, que menosprezem ou humilhem outra pessoa"
code-of-conduct.md,"List Item
XPath: /ul[4]/li[2]","Sharing sexual images online","Partager des images sexuelles en ligne",性的な画像をオンラインで共有すること,"Sharing sexual images online","Compartilhamento de imagens sexuais on-line"
code-of-conduct.md,"List Item
XPath: /ul[4]/li[3]","Harassing photography or recording","Harceler par le biais de photographie ou enregistrement",嫌がらせの写真や記録,"Harassing photography or recording","Assediar fotografia ou gravação"
code-of-conduct.md,"List Item
XPath: /ul[4]/li[4]","Sustained disruption of talks or other events","Interrompre de façon prolongée des présentations ou autres événements",話し合いやその他のイベントのしつこい妨害,"Sustained disruption of talks or other events","Interrupção sustentada de palestras ou outros eventos"
code-of-conduct.md,"List Item
XPath: /ul[4]/li[5]","Unwelcome sexual attention","Des avances sexuelle indésirables",ありがたくない性的な注目のされ方,"Unwelcome sexual attention","Atenção sexual indesejada"
code-of-conduct.md,"List Item
XPath: /ul[4]/li[6]","Advocating for, or encouraging, any of the above behavior","Défendre ou encourager l'un des comportements ci-dessus",上記の行動のいずれかを支持または奨励すること,"Advocating for, or encouraging, any of the above behavior","Defendendo ou encorajando, qualquer um dos comportamentos acima"
code-of-conduct.md,"Paragraph text
XPath: /p[10]","Intimidation and bullying include, but are not limited to:","L'intimidation et la persécution incluent, mais ne sont pas limitées à:",脅迫やいじめには以下が含まれますが、これらに限定されません:,"Intimidation and bullying include, but are not limited to:","Intimidação e bullying incluem, mas não estão limitados a:"
code-of-conduct.md,"List Item
XPath: /ul[5]/li","Aggressive or browbeating behavior","Un comportement agressif ou intimidant",攻撃的なまたは怒鳴りつけるような行動,"Aggressive or browbeating behavior","Comportamento agressivo ou intimidador"
code-of-conduct.md,"List Item
XPath: /ul[5]/li[2]","Mocking or insulting another person’s intellect, work, perspective, or question/comment","Se moquer ou insulter l'intelligence, le travail, la perspective, la question ou le commentaire d'une autre personne",次を嘲笑または侮辱すること。他人の知性、仕事、視点、または質問/コメント,"Mocking or insulting another person’s intellect, work, perspective, or question/comment"," Zombando ou insultando o intelecto, trabalho, perspectiva ou pergunta/comentário de outra pessoa"
code-of-conduct.md,"List Item
XPath: /ul[5]/li[3]","Making reference to someone’s gender, gender identity and expression, sexual orientation, disability, physical appearance, body size, race, age, religion, or other personal attributes in the context of a scientific discussion","Faire référence au sexe, à l’identité et à l’expression de genre, à l’orientation sexuelle, au handicap, à l’apparence physique, la taille, la race, l'âge, la religion ou d'autres attributs personnels dans le contexte d'une discussion scientifique",次に言及すること。誰かの性別、性同一性と表現、性的指向、身体障害、容貌、体の大きさ、人種、年齢、宗教、または科学的議論の文脈でのその他の個人的属性,"Making reference to someone’s gender, gender identity and expression, sexual orientation, disability, physical appearance, body size, race, age, religion, or other personal attributes in the context of a scientific discussion","Fazer referência ao gênero, identidade e expressão de gênero de alguém, orientação sexual, deficiência, aparência física, tamanho do corpo, raça, idade, religião ou outros atributos pessoais no contexto de uma discussão científica"
code-of-conduct.md,"List Item
XPath: /ul[5]/li[4]","Deliberately making someone feel unwelcome","Délibérément faire quelqu'un se sentir rejeté",故意に誰かを歓迎されていないと感じさせること,"Deliberately making someone feel unwelcome","Deliberadamente fazendo alguém se sentir indesejado"
code-of-conduct.md,"List Item
XPath: /ul[5]/li[5]","Trolling behaviour (deliberately inflammatory of offensive messages)","Un comportement de ""trolling"" (envoi de messages délibérément inflammatoires ou offensifs)","荒らし行為 (故意に怒りをかき立てる攻撃的なメッセージを行うこと)","Trolling behaviour (deliberately inflammatory of offensive messages)","Comportamento de ""trolling"" (mensagens deliberadamente inflamatórias ou ofensivas)"
code-of-conduct.md,"List Item
XPath: /ul[5]/li[6]","Sustained off-topic posts","L'envoi continu de messages hors-sujet",しつこい主題からずれた投稿,"Sustained off-topic posts","Envio constante de postagens fora do tópico"
code-of-conduct.md,"Text
XPath: /p[11]/strong",Enforcement,"Mise en application",執行,Enforcement,Execução
code-of-conduct.md,"Paragraph text
XPath: /p[12]","Anyone asked to stop harassing or intimidating behavior are expected to comply immediately.","Toute personne invitée à cesser un comportement de harcèlement ou d’intimidation devrait se conformer immédiatement aux instructions reçues.",嫌がらせや脅迫的な行動をやめるように求められた人は、すぐに従うように要求されます。,"Anyone asked to stop harassing or intimidating behavior are expected to comply immediately.","Espera-se que qualquer pessoa solicitada a interromper o comportamento de assédio ou intimidação cumpra imediatamente."
code-of-conduct.md,"XPath: /p[13]","If a person/s contravene the Code of Conduct the Code of Conduct committee retains the right to take any action that ensures a welcoming environment for all community members.","Si une personne contrevient au Code de conduite, le comité du Code de conduite se réserve le droit de prendre des mesures qui garantissent un environnement accueillant pour tous les membres de la communauté.",行動規範に違反した場合、行動規範委員会は、すべてのコミュニティメンバーが快適な環境を確保するための行動を取る権利を保持します。,"If a person/s contravene the Code of Conduct the Code of Conduct committee retains the right to take any action that ensures a welcoming environment for all community members.","Se uma pessoa/s violar o Código de Conduta, o Comitê do Código de Conduta reserva-se o direito de tomar qualquer ação que garanta um ambiente acolhedor para todos os membros da comunidade."
code-of-conduct.md,"XPath: /p[13]","This includes warning the alleged offender or temporary/permanent expulsion from the event and/or electronic platforms under Bioconductor’s control.","Cela inclut l'avertissement du délinquant présumé ou son expulsion temporaire ou permanente de l'événement et/ou des plateformes électroniques sous le contrôle de Bioconductor.",これには、Bioconductorの管理下にあるイベント・電子プラットフォームからの違反被疑者の一時的・恒久的な除籍の警告が含まれます。,"This includes warning the alleged offender or temporary/permanent expulsion from the event and/or electronic platforms under Bioconductor’s control.","Isto inclui avisar o suposto infrator ou a expulsão temporária/permanente do evento e/ou plataformas eletrônicas sob o controle do Bioconductor."
code-of-conduct.md,"Paragraph text
XPath: /p[14]","The Code of Conduct committee may take action to redress anything designed to, or with the clear impact of, disrupting an event or electronic communication platform or making the environment hostile for any community member.","Le comité du code de bonne conduite peut prendre des mesures pour réparer toute action visant à, ou causant clairement, la perturbation d'un événement ou d'une plateforme de communication électronique, ou rendant l'environnement hostile à tout membre de la communauté.",行動規範委員会は「イベントや電子通信プラットフォームを混乱させたり、コミュニティメンバーにとって環境を敵対的にしたりする」ように意図されたまたは明確な影響を与えるものを是正するための措置を講じることがあります。,"The Code of Conduct committee may take action to redress anything designed to, or with the clear impact of, disrupting an event or electronic communication platform or making the environment hostile for any community member.","O comitê de Código de Conduta pode tomar medidas para corrigir qualquer coisa concebida para, ou com um impacto claro, interromper uma plataforma de eventos ou comunicações eletrônicas ou tornar o ambiente hostil para qualquer membro da comunidade."
code-of-conduct.md,"Paragraph text
XPath: /p[15]","We expect everyone in the Bioconductor community to comply with the Code of Conduct when participating in Bioconductor events and online communication platforms.","Nous attendons de tous les membres de la communauté Bioconductor qu'ils se conforment au Code de bonne conduite lorsqu'ils participent aux événements Bioconductor et aux plateformes de communication en ligne.",我々はBioconductorのコミュニティのすべての人が、Bioconductorのイベントやオンラインコミュニケーションプラットフォームに参加する際に、行動規範を遵守することを求めています。,"We expect everyone in the Bioconductor community to comply with the Code of Conduct when participating in Bioconductor events and online communication platforms.","Esperamos que todos os membros da comunidade Bioconductor cumpram o Código de Conduta quando participarem de eventos do Bioconductor e plataformas de comunicação on-line."
code-of-conduct.md,"Text
XPath: /p[16]/strong",Reporting,Signalement,報告,Reporting,Reportando
code-of-conduct.md,"XPath: /p[17]","If someone makes you or anyone else feel unsafe or unwelcome, please report it as soon as possible.","Si quelqu'un vous fait sentir en danger ou indésirable, veuillez le signaler dès que possible.",誰かがあなたや他の誰かを「危ない、歓迎されない」と感じさせた場合は、できるだけ早く報告してください。,"If someone makes you or anyone else feel unsafe or unwelcome, please report it as soon as possible.","Se alguém fizer você ou qualquer outra pessoa se sentir inseguro ou indesejado, por favor denuncie o mais rápido possível."
code-of-conduct.md,"XPath: /p[17]","You can make a report either anonymously or personally.","Vous pouvez remplir le formulaire de signalement de façon anonyme ou accompagné de votre nom.",匿名または個人的に報告書を作成できます。,"You can make a report either anonymously or personally.","Você pode fazer uma denúncia anonimamente ou pessoalmente."
code-of-conduct.md,"XPath: /p[17]","All reports will be reviewed by the Code of Conduct Committee and will be kept confidential.","Tous les signalements seront examinés par le Comité du Code de bonne conduite et resteront confidentiels.",すべての報告は、行動規範委員会によってレビューされ、機密が保持されます。,"All reports will be reviewed by the Code of Conduct Committee and will be kept confidential.","Todos as denúncias serão revistas pelo Comitê do Código de Conduta e serão mantidos em sigilo."
code-of-conduct.md,"Text
XPath: /p[18]/em",Electronically,Electroniquement,電子的に,Electronically,Electronicamente
code-of-conduct.md,"XPath: /p[19]","You can make an anonymous or non-anonymous report via the following link:
<a href=""https://tinyurl.com/bioccomplaint"" f-id=""2"" fo=""2"">https://tinyurl.com/bioccomplaint</a>.","Vous pouvez faire un rapport anonyme ou accompagné de votre nom via le lien suivant :
<a href=""https://tinyurl.com/bioccomplaint"" f-id=""2"" fo=""2"">https://tinyurl.com/bioccomplaint</a>.","次のリンクから匿名または非匿名のレポートを作成できます:
<a href=""https://tinyurl.com/bioccomplaint"" f-id=""2"" fo=""2"">https://tinyurl.com/bioccomplaint</a>","You can make an anonymous or non-anonymous report via the following link:
<a href=""https://tinyurl.com/bioccomplaint"" f-id=""2"" fo=""2"">https://tinyurl.com/bioccomplaint</a>.","Você pode fazer uma denúncia anônima ou não anônima por meio do seguinte link:
<a href=""https://tinyurl.com/bioccomplaint"" f-id=""2"" fo=""2"">https://tinyurl.com/bioccomplaint</a>."
code-of-conduct.md,"XPath: /p[19]","It is a free-form text box that will be forwarded to the Code of Conduct Committee.","Il s'agit d'une boîte de texte en forme libre qui sera transmise au comité du code de bonne conduite.",これは、行動規範委員会に転送される自由形式のテキストボックスです。,"It is a free-form text box that will be forwarded to the Code of Conduct Committee.","É uma caixa de texto de formato livre que será encaminhada ao Comitê do Código de Conduta."
code-of-conduct.md,"XPath: /p[19]","Alternatively you can email the Code of Conduct Committee (code-of-conduct@bioconductor.org).","Vous pouvez également envoyer un courriel au Comité du Code de bonne conduite (code-of-conduct@bioconductor.org).","代わりに、行動規範委員会 (code-of-conduct@bioconductor.org) に電子メールを送信することもできます。","Alternatively you can email the Code of Conduct Committee (code-of-conduct@bioconductor.org).","Alternativamente, você pode enviar um e-mail para o Comitê do Código de Conduta (code-of-conduct@bioconductor.org)."
code-of-conduct.md,"XPath: /p[19]","If you are uncomfortable reporting to the Code of Conduct committee as a group, you can contact any individual committee member via email or a direct message on the community-bioc Slack channel.","Si vous ne vous sentez pas à l'aise de contacter le comité du code de conduite en tant que groupe, vous pouvez contacter n'importe quel membre du comité par courriel ou un message direct sur l'espace de travail Slack ""community-bioc"".","グループとしての行動規範委員会への報告に不安がある場合は、個々の委員会メンバーへの電子メールもしくはcommunity-bioc Slackでのダイレクトメッセージでも連絡できます。","If you are uncomfortable reporting to the Code of Conduct committee as a group, you can contact any individual committee member via email or a direct message on the community-bioc Slack channel.","Se você estiver desconfortável reportando ao comitê de Código de Conduta como grupo, você pode entrar em contato com qualquer membro do comitê individualmente por e-mail ou uma mensagem direta no canal ""community-bioc"" no Slack."
code-of-conduct.md,"XPath: /p[19]","Please include screenshots/copies of all relevant electronic conversations whenever possible (you don’t need to compromise your anonymity!).","Veuillez inclure des captures d'écran/copies de toutes les conversations électroniques pertinentes dans la mesure du possible (vous n'avez pas besoin de compromettre votre anonymat!).","可能な限り、関連するすべての電子会話のスクリーンショット/コピーを含めてください (匿名情報を洩らす必要はありません!)。","Please include screenshots/copies of all relevant electronic conversations whenever possible (you don’t need to compromise your anonymity!).","Por favor,  inclua capturas de tela /cópias de todas as conversas eletrônicas relevantes sempre que possível (você não precisa comprometer o seu anonimato!)."
code-of-conduct.md,"Paragraph text
XPath: /p[20]","We can’t follow up an anonymous report with you directly, but we will fully investigate it and take whatever action is necessary to prevent a recurrence.","Nous ne pouvons pas suivre un signalement anonyme avec vous directement, mais nous examinerons le signalement en profondeur et prendrons toutes les mesures nécessaires pour éviter une récidive.",匿名の報告を直接フォローアップすることはできませんが、完全に調査し、再発を防ぐために必要な措置を講じます。,"We can’t follow up an anonymous report with you directly, but we will fully investigate it and take whatever action is necessary to prevent a recurrence.","Não podemos acompanhar um relatório anônimo com você, mas vamos investigá-la totalmente e tomar todas as medidas necessárias para evitar que se repita."
code-of-conduct.md,"Text
XPath: /p[21]/em","Personal Report (for any Bioconductor events: in-person or virtual)","Signalement direct (pour tout événement Bioconductor: en personne ou virtuel)","ご本人がじかに行う報告 (Bioconductorイベントの場合：対面またはバーチャルで)","Personal Report (for any Bioconductor events: in-person or virtual)","Relatório pessoal (para quaisquer eventos de Bioconductor: presencial ou virtual)"
code-of-conduct.md,"Paragraph text
XPath: /p[22]","You can make a personal report to any member of the event Code of Conduct committee present at an event.","Vous pouvez faire un signalement directement à tout membre du comité du Code de bonne conduite présents à un événement.",イベントに出席しているイベント行動規範委員会のメンバーにご本人がじかに報告をすることができます。,"You can make a personal report to any member of the event Code of Conduct committee present at an event.","Você pode fazer uma denúnica pessoal para qualquer membro do comitê do Código de Conduta do evento presente no evento."
code-of-conduct.md,"XPath: /p[23]","When taking a personal report, we will ensure you are safe and cannot be overheard.","Lorsque nous prenons un rapport direct, nous nous assurerons que vous êtes en sécurité et que personne d'autre ne peut intercepter la conversation.",ご本人がじかに報告をしてくださる場合、私たちはあなたが安全であり、それを立ち聞きされないようにすることを保証します。,"When taking a personal report, we will ensure you are safe and cannot be overheard.","Ao fazer uma denúncia pessoal, garantimos que você está seguro e que não pode ser ouvido por acaso."
code-of-conduct.md,"XPath: /p[23]","We may involve other event staff to ensure your report is managed properly.","Il se peut que nous fassions appel à un autre personnel de l’évènement pour nous assurer que votre rapport est géré correctement.",ただし、あなたの報告が適切に管理されるように、他のイベントスタッフが関与する場合があるかもしれません。,"We may involve other event staff to ensure your report is managed properly.","Podemos envolver outros funcionários do evento para garantir que o sua denúncia seja gerenciada adequadamente."
code-of-conduct.md,"XPath: /p[23]","Once safe, we’ll ask you to tell us about what happened.","Une fois en sécurité, nous vous demanderons de nous faire part de ce qui s'est passé.",安全になったら、我々はあなたに何が起こったのか教えていただくようお願いします。,"Once safe, we’ll ask you to tell us about what happened.","Uma vez seguro, perguntaremos a você para nos dizer o que aconteceu."
code-of-conduct.md,"XPath: /p[23]","This can be upsetting, but we’ll handle it as respectfully as possible, and you can bring someone to support you.","Cela peut être bouleversant, mais nous traiterons toute information avec le plus grand respect possible, et vous pouvez vous accompagner de quelqu'un pour vous soutenir.",これはあなたを動揺させる可能性がありますが、我々は可能な限り丁寧に対応し、誰かにあなたをサポートしてもらうようにできます。,"This can be upsetting, but we’ll handle it as respectfully as possible, and you can bring someone to support you.","Isto pode ser perturbador, mas nós vamos lidar com isso da forma mais respeitosa possível, e você pode trazer alguém para apoiá-lo."
code-of-conduct.md,"XPath: /p[23]","You won’t be asked to confront anyone, and we won’t tell anyone who you are.","On ne vous demandera pas de confronter qui que ce soit, et nous ne dirons à personne qui vous êtes.",あなたは誰かに立ち向かうように求められることはありませんし、我々はあなたが誰であるかを誰にも教えません。,"You won’t be asked to confront anyone, and we won’t tell anyone who you are.","Você não terá que confrontar ninguém e não diremos a ninguém quem você é."
code-of-conduct.md,"Paragraph text
XPath: /p[24]","Our team will be happy to help you get the relevant support (e.g. help contacting hotel/venue security, local law enforcement, local support services, provide escorts, or otherwise assist you to feel safe for the duration of the event).","Notre équipe se fera un devoir de vous aider à obtenir le soutien approprié (par exemple, aide à contacter la sécurité de l'hôtel/du lieu, les forces de l'ordre locales, les services de soutien locaux, escorte, ou tout support pour vous sentir en sécurité pendant la durée de l'événement).","私たちのチームは、あなたが関連のあるサポートを受けるのを喜んでお手伝いします (たとえば、ホテル/会場のセキュリティ、地域の法執行機関、地域のサポートサービスへの連絡、エスコートの提供、またはイベント期間中の安全を確保するための支援など)。","Our team will be happy to help you get the relevant support (e.g. help contacting hotel/venue security, local law enforcement, local support services, provide escorts, or otherwise assist you to feel safe for the duration of the event).","Nossa equipe ficará feliz em ajudá-lo a obter o suporte relevante (por exemplo, ajuda a contatar a segurança de hotel/evento, aplicação da lei local, serviços de suporte locais, fornecer escoltas ou de outra forma ajudá-lo a sentir-se seguro durante o evento)."
code-of-conduct.md,"Paragraph text
XPath: /p[25]","We value your attendance and participation at Bioconductor events and in our community.","Nous apprécions votre présence et votre participation aux événements Bioconductor et à notre communauté.",私たちは、Bioconductorのイベントおよび私たちのコミュニティへのご出席と参加を大切にしています。,"We value your attendance and participation at Bioconductor events and in our community.","Valorizamos sua presença e participação em eventos de Bioconductor e em nossa comunidade."
code-of-conduct.md,"Headline 2
XPath: /h2","Code of Conduct Committee","Comité de bonne conduite",行動規範委員会,"Code of Conduct Committee","Comitê do Código de Conduta"
code-of-conduct.md,"List Item
XPath: /ul[6]/li","(Chair) Saskia Freytag sas.freytag@gmail.com","(Chair) Saskia Freytag sas.freytag@gmail.com","(議長) Saskia Freytag sas.freytag@gmail.com","(Chair) Saskia Freytag sas.freytag@gmail.com","(Chair) Saskia Freytag sas.freytag@gmail.com"
code-of-conduct.md,"List Item
XPath: /ul[6]/li[2]","Yagoub Adam yagoub@alumni.usp.br","Yagoub Adam yagoub@alumni.usp.br","Yagoub Adam yagoub@alumni.usp.br","Yagoub Adam yagoub@alumni.usp.br","Yagoub Adam yagoub@alumni.usp.br"
code-of-conduct.md,"List Item
XPath: /ul[6]/li[3]","Leonardo Collado-Torres lcolladotor@gmail.com","Leonardo Collado-Torres lcolladotor@gmail.com","Leonardo Collado-Torres lcolladotor@gmail.com","Leonardo Collado-Torres lcolladotor@gmail.com","Leonardo Collado-Torres lcolladotor@gmail.com"
code-of-conduct.md,"List Item
XPath: /ul[6]/li[4]","Aedín Culhane aedin@ds.dfci.harvard.edu","Aedín Culhane aedin@ds.dfci.harvard.edu","Aedín Culhane aedin@ds.dfci.harvard.edu","Aedín Culhane aedin@ds.dfci.harvard.edu","Aedín Culhane aedin@ds.dfci.harvard.edu"
code-of-conduct.md,"List Item
XPath: /ul[6]/li[5]","Laurent Gatto laurent.gatto@gmail.com","Laurent Gatto laurent.gatto@gmail.com","Laurent Gatto laurent.gatto@gmail.com","Laurent Gatto laurent.gatto@gmail.com","Laurent Gatto laurent.gatto@gmail.com"
